gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7
3.17146,-0.639625,-0.169815,-0.257559,0.0280558,0.0785455,0.0126594
3.04783,-0.582872,-0.202491,-0.238812,0.0415213,0.0700855,0.0111022
3.12997,-0.639553,-0.207228,-0.252494,0.0234256,0.0781914,0.0195267
3.09908,-0.619507,-0.210691,-0.23164,0.0263125,0.0707266,0.0201284
3.18199,-0.707614,-0.3504,-0.251958,0.0255611,0.0861351,0.0397236
3.28604,-0.745821,-0.344329,-0.268349,0.0241541,0.093353,0.0411312
3.35612,-0.73333,-0.282876,-0.27735,0.0380726,0.0897166,0.0252225
3.33071,-0.716873,-0.331944,-0.274919,0.056119,0.0878844,0.0229862
3.08504,-0.633776,-0.220956,-0.231244,0.0337226,0.0737701,0.0188224
3.15153,-0.615607,-0.219659,-0.248788,0.0243682,0.0743001,0.0238324
3.07935,-0.675398,-0.245106,-0.235103,0.0179161,0.0797705,0.0272946
3.1331,-0.675735,-0.184312,-0.237788,0.0131903,0.078302,0.0212998
2.98884,-0.606989,-0.211229,-0.221467,0.0242773,0.0693095,0.0189431
3.00515,-0.563712,-0.213082,-0.230219,0.0254869,0.066835,0.0193151
3.14417,-0.633876,-0.137971,-0.233269,0.018151,0.0710428,0.0141387
2.84676,-0.55531,-0.198323,-0.194296,0.0174931,0.0605966,0.0203702
3.07162,-0.563372,-0.118529,-0.233179,0.0199566,0.0640312,0.00929141
3.11784,-0.599891,-0.108212,-0.232041,0.00443955,0.0664536,0.0145536
3.04785,-0.597404,-0.12517,-0.222624,0.0105992,0.0670943,0.0158462
3.05412,-0.588964,-0.134239,-0.229166,0.00326393,0.0672903,0.0177069
3.0419,-0.570537,-0.194156,-0.241071,0.0233411,0.0698499,0.0189354
3.09397,-0.61545,-0.211561,-0.24072,0.0218376,0.0739872,0.0217008
2.77876,-0.495175,-0.12547,-0.186785,0.0146847,0.0531908,0.0122737
2.94773,-0.536429,-0.11968,-0.215715,0.0207522,0.0604275,0.00849868
3.02639,-0.565822,-0.102245,-0.227461,0.016468,0.064853,0.00813258
