beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7
1.59951,1.66583,-0.162872,-0.0607187,0.100849,-0.16536,0.0731063
1.59783,1.65777,-0.298898,-0.0836998,0.148696,-0.155773,0.0724549
1.71447,1.65326,-0.212981,-0.0954214,0.130428,-0.158351,0.0664805
1.19001,1.76691,-0.318998,-0.00753166,0.127061,-0.175777,0.0878956
1.22044,1.74842,-0.337869,-0.0111535,0.125965,-0.176597,0.0854339
1.16162,1.8008,-0.321348,-0.0155318,0.124597,-0.178691,0.0856636
1.30175,1.6997,-0.342526,-0.0449603,0.137204,-0.159399,0.086427
1.32593,1.76008,-0.221426,-0.0319941,0.124624,-0.174466,0.0710962
1.50893,1.77631,-0.257503,-0.0705979,0.14566,-0.17391,0.0665217
1.33542,1.73523,-0.251774,-0.0398654,0.147091,-0.16991,0.0649368
1.23965,1.78981,-0.180038,-0.0176954,0.12848,-0.179273,0.0653694
1.13954,1.78822,-0.30249,-0.0100096,0.129252,-0.177658,0.0809014
1.27544,1.79611,-0.256409,-0.0245766,0.11237,-0.179547,0.0835078
1.14056,1.93958,-0.166629,0.000440445,0.131251,-0.203404,0.0601741
1.07558,1.89968,-0.175928,0.00751903,0.140611,-0.197273,0.0565905
1.03139,1.90302,-0.211348,0.00319863,0.145073,-0.193923,0.0606598
1.14864,1.80596,-0.252658,0.00677992,0.120813,-0.186581,0.0784784
0.933182,1.89549,-0.229857,0.0359816,0.131644,-0.198834,0.0688295
0.693507,1.94017,-0.189016,0.0580691,0.10149,-0.201326,0.0765257
1.50621,1.70128,-0.293721,-0.0741343,0.153017,-0.161478,0.0687767
1.51151,1.70026,-0.290171,-0.0727195,0.152886,-0.162079,0.069235
1.3509,1.71239,-0.240796,-0.0400055,0.117048,-0.16611,0.0770088
1.56218,1.70718,-0.212753,-0.0736179,0.128637,-0.162923,0.0705173
1.08113,1.87112,-0.247083,0.00344641,0.132538,-0.190054,0.0724429
1.15079,1.82117,-0.196205,0.00031517,0.0952315,-0.186922,0.0820212
1.43448,1.79679,-0.220959,-0.06704,0.166281,-0.175265,0.0521242
1.53506,1.73221,-0.194158,-0.0619573,0.128311,-0.17017,0.0648086
1.13478,1.77493,-0.334597,-0.00186341,0.137538,-0.177798,0.0836964
1.23723,1.82006,-0.162787,-0.0173699,0.120465,-0.183884,0.0654994
1.12713,1.80847,-0.223896,0.00196188,0.134372,-0.184487,0.0665277
1.31625,1.80999,-0.192628,-0.0536472,0.162023,-0.174003,0.0521464
1.67234,1.60606,-0.350971,-0.0935212,0.13536,-0.14814,0.0869989
1.65098,1.61456,-0.348887,-0.0912734,0.135422,-0.14884,0.0871861
1.58888,1.64442,-0.300307,-0.0823048,0.146226,-0.154313,0.0743145
1.68506,1.67174,-0.297958,-0.093058,0.144001,-0.159581,0.0731471
1.57297,1.66155,-0.184382,-0.0749877,0.117822,-0.158313,0.0706734
1.47262,1.66905,-0.293775,-0.0711922,0.14049,-0.155638,0.0755677
1.01388,1.93797,-0.125564,0.024832,0.108857,-0.205039,0.0646067
1.19247,1.86063,-0.0942479,0.00113769,0.100324,-0.194015,0.0643217
1.53355,1.66631,-0.384626,-0.0763307,0.150952,-0.156376,0.0844002
1.58742,1.72057,-0.109374,-0.0631647,0.112734,-0.172904,0.0590515
1.22716,1.82769,-0.159741,-0.0184362,0.135827,-0.184397,0.0571812
1.28514,1.81499,-0.161196,-0.0317486,0.125757,-0.181617,0.0626237
1.34512,1.77897,-0.250593,-0.0332549,0.140616,-0.178546,0.0676931
1.40956,1.73806,-0.217128,-0.0367825,0.129541,-0.175063,0.0686507
1.45964,1.72964,-0.227883,-0.0591518,0.132401,-0.16919,0.0691566
1.57603,1.6909,-0.223024,-0.0653333,0.12562,-0.168188,0.069581
